age,steps_per_day,exercise_hours,water_liters,fitness_score
63.0,6148.0,3.7,3.5,35.4
36.0,7051.0,14.1,1.6,55.9
57.0,8939.0,12.3,1.0,44.1
61.0,14898.0,1.6,1.8,55.7
61.0,9802.0,0.0,0.8,24.9
21.0,14774.0,6.6,2.0,49.6
41.0,10912.0,10.6,2.8,53.1
37.0,8588.0,11.1,3.5,56.1
50.0,13052.0,6.3,2.9,53.3
28.0,17301.0,0.9,2.0,56.7
46.0,6407.0,3.4,4.8,41.9
26.0,1282.0,11.6,2.9,35.3
27.0,7381.0,12.4,2.0,55.2
21.0,12912.0,6.3,1.6,42.5
44.0,14420.0,8.5,1.4,54.5
23.0,3350.0,10.0,0.8,25.3
61.0,19476.0,4.9,1.6,60.4
63.0,7360.0,13.0,4.6,62.1
37.0,4362.0,1.2,3.7,18.5
47.0,3012.0,7.4,1.2,22.8
59.0,2546.0,8.4,1.3,25.4
35.0,18026.0,14.8,0.9,75.7
32.0,5455.0,11.0,4.5,52.9
52.0,10940.0,5.3,2.1,42.4
32.0,3198.0,5.9,,32.8
37.0,5760.0,12.6,2.5,49.6
43.0,16922.0,6.3,3.3,67.4
26.0,6100.0,13.6,1.3,35.5
49.0,8080.0,0.9,1.3,25.0
59.0,14422.0,4.7,1.0,50.6
51.0,4356.0,2.5,3.2,26.0
48.0,10566.0,3.7,1.9,41.9
48.0,1223.0,11.8,1.0,28.5
42.0,4090.0,9.0,3.1,40.9
20.0,16062.0,10.0,3.4,65.6
55.0,16016.0,13.5,2.8,69.4
34.0,17554.0,3.4,2.6,64.5
45.0,7695.0,9.9,1.2,41.8
24.0,13178.0,3.5,4.7,49.8
45.0,11311.0,5.3,4.3,52.6
53.0,18170.0,13.2,3.2,81.9
40.0,11049.0,1.2,1.1,30.3
30.0,11554.0,2.1,2.2,35.3
62.0,13520.0,6.7,3.1,59.5
28.0,14716.0,14.3,1.1,70.7
28.0,5009.0,8.7,3.9,40.9
61.0,7590.0,1.8,3.0,27.0
51.0,6450.0,4.1,0.9,32.6
36.0,4855.0,13.6,3.0,53.0
64.0,2165.0,8.9,3.2,28.9
19.0,17051.0,7.9,1.5,64.2
29.0,13270.0,0.0,3.7,55.6
64.0,16966.0,7.0,3.5,72.7
41.0,7452.0,6.1,1.1,42.0
24.0,16586.0,3.6,2.9,58.4
49.0,1054.0,13.3,3.7,35.8
29.0,3738.0,11.3,2.7,44.6
64.0,11297.0,14.5,2.8,57.4
59.0,10707.0,6.7,3.4,51.1
38.0,14411.0,15.0,3.2,79.4
46.0,5383.0,9.2,1.7,33.4
33.0,11052.0,3.6,3.3,46.8
40.0,1001.0,12.4,2.7,26.9
21.0,8284.0,2.5,1.9,32.9
18.0,5794.0,9.2,4.2,40.5
31.0,4002.0,12.1,4.0,43.2
37.0,8358.0,12.3,2.0,55.8
23.0,18269.0,4.8,4.9,68.5
41.0,17741.0,1.0,4.3,57.7
53.0,2390.0,7.0,,26.7
59.0,9497.0,6.9,3.3,53.4
28.0,5311.0,6.4,4.0,39.2
40.0,2059.0,11.9,4.5,50.7
48.0,8950.0,11.8,4.2,52.2
30.0,5046.0,6.7,,36.5
24.0,16747.0,2.4,2.4,56.7
35.0,11939.0,10.9,0.9,53.9
45.0,4086.0,2.3,4.9,24.0
56.0,10260.0,4.4,3.8,42.8
45.0,11102.0,8.0,3.8,62.5
31.0,13993.0,13.1,4.9,75.1
57.0,5793.0,0.5,4.1,24.1
42.0,12977.0,8.3,1.6,59.7
49.0,11381.0,0.3,1.4,37.0
59.0,,4.3,4.3,59.1
64.0,1339.0,9.2,4.3,27.7
63.0,7675.0,14.4,2.7,57.2
60.0,1243.0,7.1,0.7,22.8
58.0,12042.0,,0.7,64.7
32.0,16565.0,9.4,4.7,69.6
54.0,17777.0,13.2,3.0,80.7
32.0,13170.0,9.5,3.9,58.3
37.0,1756.0,2.4,1.0,10.8
26.0,6882.0,4.8,1.6,26.6
38.0,3588.0,8.7,1.0,19.1
38.0,5826.0,10.9,4.2,40.9
20.0,19453.0,7.9,2.4,73.1
49.0,10420.0,9.5,2.9,51.6
45.0,13214.0,8.5,0.8,56.2
23.0,6945.0,5.7,0.7,32.9
33.0,8760.0,1.9,1.7,30.4
32.0,10083.0,14.3,3.9,66.1
55.0,8584.0,,2.3,44.0
18.0,15860.0,6.7,0.7,48.2
36.0,16118.0,7.3,0.5,70.8
18.0,3880.0,8.6,2.6,28.1
26.0,7365.0,7.4,,38.6
54.0,18522.0,4.0,1.8,53.4
48.0,18032.0,4.3,4.2,74.1
20.0,1919.0,12.6,1.9,31.0
56.0,10134.0,6.1,3.7,50.5
62.0,19669.0,10.1,2.4,71.0
38.0,1958.0,4.7,4.5,25.2
48.0,4517.0,14.1,1.6,43.6
18.0,6225.0,12.1,4.0,50.9
22.0,13577.0,13.2,4.5,70.7
35.0,18916.0,8.6,1.9,62.2
28.0,19993.0,12.2,1.0,74.9
32.0,15201.0,11.2,1.1,67.5
29.0,19411.0,0.3,0.8,48.5
30.0,15828.0,8.2,2.8,63.2
50.0,2033.0,12.0,,40.1
24.0,15818.0,13.3,3.0,76.3
29.0,16270.0,11.0,4.3,76.5
54.0,5911.0,12.7,3.1,48.6
41.0,18979.0,6.5,3.4,77.6
62.0,19491.0,7.0,0.7,67.3
42.0,8927.0,2.5,1.2,36.3
57.0,6487.0,1.8,1.5,23.7
34.0,2999.0,0.1,1.2,16.9
44.0,12062.0,4.2,2.9,47.8
46.0,10280.0,13.8,3.3,56.2
57.0,7923.0,5.0,4.7,51.7
56.0,17050.0,12.3,0.9,75.1
61.0,19345.0,9.7,4.7,79.4
18.0,19561.0,5.4,2.4,67.9
